Wavelength 	T%
7040	97,1995
7050	97,1136
7060	97,1009
7070	97,004
7080	96,9202
7090	96,8399
7100	96,7978
7110	96,7898
7120	96,747
7130	96,6551
7140	96,519
7150	96,4497
7160	96,4242
7170	96,4056
7180	96,342
7190	96,2432
7200	96,1595
7210	96,1054
7220	96,0341
7230	95,9647
7240	95,8858
7250	95,8237
7260	95,7645
7270	95,6772
7280	95,6044
7290	95,5346
7300	95,4633
7310	95,389
7320	95,3085
7330	95,2529
7340	95,1583
7350	95,0796
7360	94,9826
7370	94,9369
7380	94,8491
7390	94,7695
7400	94,6703
7410	94,5981
7420	94,5174
7430	94,4678
7440	94,4038
7450	94,3247
7460	94,2722
7470	94,1596
7480	94,0722
7490	94,0499
7500	93,985
7510	93,9251
7520	93,7401
7530	93,6622
7540	93,5999
7550	93,5724
7560	93,4886
7570	93,3841
7580	93,3552
7590	93,2536
7600	93,1463
7610	92,9415
7620	92,8483
7630	92,7904
7640	92,7339
7650	92,6949
7660	92,5537
7670	92,4354
7680	92,2696
7690	92,2705
7700	91,9324
7710	91,8955
7720	91,7636
7730	92,0222
7740	91,9077
7750	91,8847
7760	91,4514
7770	91,3388
7780	91,1173
7790	91,2698
7800	91,185
7810	91,1054
7820	90,9942
7830	90,9264
7840	90,8321
7850	90,6829
7860	90,6218
7870	90,559
7880	90,5556
7890	90,4581
7900	90,3924
7910	90,3086
7920	90,1418
7930	90,0655
7940	90,0012
7950	89,906
7960	89,7872
7970	89,6357
7980	89,6139
7990	89,5068
8000	89,3928
8010	89,3145
8020	89,2375
8030	89,1615
8040	89,0314
8050	88,9202
8060	88,8241
8070	88,7392
8080	88,5548
8090	88,4368
8100	88,2981
8110	88,2927
8120	88,2342
8130	88,1548
8140	88,0398
8150	87,9194
8160	87,8274
8170	87,7068
8180	87,5601
8190	87,4136
8200	87,3029
8210	87,152
8220	87,0272
8230	86,871
8240	86,7915
8250	86,6203
8260	86,4471
8270	86,2395
8280	86,0541
8290	85,83
8300	85,6668
8310	85,4267
8320	85,2776
8330	85,0699
8340	84,8648
8350	84,6715
8360	84,5299
8370	84,4053
8380	84,2579
8390	84,2264
8400	83,9994
8410	83,8488
8420	83,585
8430	83,5415
8440	83,3373
8450	83,2363
8460	83,1285
8470	83,1068
8480	82,9488
8490	82,8097
8500	82,6651
8510	82,5604
8520	82,3967
8530	82,3672
8540	82,1277
8550	82,0542
8560	81,9021
8570	81,9026
8580	81,8394
8590	81,7047
8600	81,6429
8610	81,4012
8620	81,2761
8630	81,1709
8640	81,2126
8650	81,1517
8660	81,0527
8670	80,9356
8680	80,8345
8690	80,7228
8700	80,605
8710	80,4842
8720	80,368
8730	80,2727
8740	80,1838
8750	80,0775
8760	79,9831
8770	79,8856
8780	79,7801
8790	79,6946
8800	79,5864
8810	79,4935
8820	79,3628
8830	79,2901
8840	79,1699
8850	79,0962
8860	78,9766
8870	78,8931
8880	78,7743
8890	78,6478
8900	78,5706
8910	78,4507
8920	78,4031
8930	78,2551
8940	78,183
8950	78,0515
8960	77,944
8970	77,8163
8980	77,7237
8990	77,6633
9000	77,5678
9010	77,4904
9020	77,4046
9030	77,3435
9040	77,2286
9050	77,1189
9060	77,041
9070	76,9642
9080	76,824
9090	76,682
9100	76,5623
9110	76,4807
9120	76,3798
9130	76,3065
9140	76,2316
9150	76,1768
9160	76,0624
9170	75,9732
9180	75,868
9190	75,7525
9200	75,6658
9210	75,5543
9220	75,475
9230	75,3755
9240	75,2685
9250	75,1857
9260	75,0966
9270	75,0323
9280	74,9703
9290	74,8805
9300	74,7922
9310	74,6902
9320	74,5964
9330	74,511
9340	74,419
9350	74,3479
9360	74,2509
9370	74,161
9380	74,0682
9390	73,9736
9400	73,8955
9410	73,8204
9420	73,7749
9430	73,7025
9440	73,6124
9450	73,4921
9460	73,4086
9470	73,3236
9480	73,254
9490	73,1542
9500	73,083
9510	73,0176
9520	72,9469
9530	72,838
9540	72,7326
9550	72,6503
9560	72,6047
9570	72,5315
9580	72,4515
9590	72,3676
9600	72,2999
9610	72,2308
9620	72,1454
9630	72,063
9640	71,9764
9650	71,8953
9660	71,8203
9670	71,743
9680	71,6711
9690	71,5924
9700	71,5098
9710	71,4551
9720	71,3847
9730	71,3215
9740	71,2341
9750	71,1603
9760	71,0724
9770	70,9976
9780	70,9118
9790	70,8464
9800	70,7604
9810	70,6937
9820	70,6188
9830	70,5521
9840	70,436
9850	70,3645
9860	70,2584
9870	70,2308
9880	70,1327
9890	70,0661
9900	69,9695
9910	69,9074
9920	69,864
9930	69,8333
9940	69,788
9950	69,7105
9960	69,6104
9970	69,5378
9980	69,4666
9990	69,4261
10000	69,3591
10010	69,287
10020	69,2045
10030	69,1315
10040	69,09
10050	69,0425
10060	68,9805
10070	68,8978
10080	68,8303
10090	68,7558
10100	68,6944
10110	68,6362
10120	68,5826
10130	68,5023
10140	68,4223
10150	68,3707
10160	68,3066
10170	68,2625
10180	68,2046
10190	68,1498
10200	68,0696
10210	67,9917
10220	67,947
10230	67,9043
10240	67,8311
10250	67,7703
10260	67,6928
10270	67,6468
10280	67,5934
10290	67,5327
10300	67,4496
10310	67,3782
10320	67,3248
10330	67,2806
10340	67,2371
10350	67,1792
10360	67,1398
10370	67,0832
10380	67,0177
10390	66,9563
10400	66,911
10410	66,8384
10420	66,7652
10430	66,6946
10440	66,6441
10450	66,601
10460	66,528
10470	66,4759
10480	66,4213
10490	66,3827
10500	66,3167
10510	66,2622
10520	66,1725
10530	66,1124
10540	66,0577
10550	66,0245
10560	65,9999
10570	65,9369
10580	65,8759
10590	65,8166
10600	65,7552
10610	65,7096
10620	65,6795
10630	65,6078
10640	65,5597
10650	65,4708
10660	65,4508
10670	65,4123
10680	65,3663
10690	65,301
10700	65,2402
10710	65,1936
10720	65,183
10730	65,1586
10740	65,1112
10750	65,0455
10760	64,9797
10770	64,941
10780	64,8994
10790	64,8426
10800	64,7792
10810	64,7446
10820	64,6919
10830	64,6628
10840	64,5982
10850	64,5458
10860	64,5141
10870	64,4744
10880	64,4421
10890	64,3751
10900	64,3309
10910	64,2869
10920	64,276
10930	64,2152
10940	64,1858
10950	64,1321
10960	64,0963
10970	64,0528
10980	63,9952
10990	63,964
11000	63,9134
11010	63,8698
11020	63,8168
11030	63,7735
11040	63,7604
11050	63,7149
11060	63,6909
11070	63,6236
11080	63,5794
11090	63,514
11100	63,4756
11110	63,4473
11120	63,4369
11130	63,3946
11140	63,3423
11150	63,2958
11160	63,2531
11170	63,2382
11180	63,1865
11190	63,1576
11200	63,0952
11210	63,0471
11220	63,0058
11230	62,9664
11240	62,942
11250	62,8968
11260	62,8658
11270	62,8401
11280	62,7998
11290	62,7734
11300	62,7275
11310	62,6979
11320	62,6603
11330	62,6022
11340	62,5797
11350	62,5348
11360	62,5197
11370	62,4611
11380	62,4183
11390	62,3595
11400	62,3264
11410	62,3033
11420	62,2782
11430	62,2368
11440	62,2052
11450	62,1829
11460	62,1672
11470	62,1281
11480	62,0797
11490	62,0377
11500	62,0171
11510	61,9825
11520	61,9549
11530	61,9163
11540	61,8878
11550	61,853
11560	61,8203
11570	61,806
11580	61,7668
11590	61,7325
11600	61,6861
11610	61,6752
11620	61,6472
11630	61,6175
11640	61,5787
11650	61,5398
11660	61,5292
11670	61,5064
11680	61,4821
11690	61,4358
11700	61,3925
11710	61,3764
11720	61,3429
11730	61,3369
11740	61,3029
11750	61,2882
11760	61,2339
11770	61,2083
11780	61,18
11790	61,1732
11800	61,1388
11810	61,1107
11820	61,0724
11830	61,0439
11840	60,9983
11850	60,9715
11860	60,9324
11870	60,9247
11880	60,9035
11890	60,8894
11900	60,8564
11910	60,8223
11920	60,7978
11930	60,7765
11940	60,7302
11950	60,7094
11960	60,682
11970	60,6765
11980	60,6322
11990	60,6132
12000	60,6052
