Wavelength 	T%
7010	89,8086
7020	89,9657
7030	90,0781
7040	90,2
7050	90,319
7060	90,5002
7070	90,6046
7080	90,7755
7090	90,8701
7100	91,021
7110	91,0763
7120	91,1425
7130	91,1889
7140	91,2025
7150	91,2701
7160	91,3137
7170	91,3442
7180	91,3691
7190	91,3732
7200	91,3683
7210	91,3646
7220	91,3229
7230	91,323
7240	91,3139
7250	91,3656
7260	91,4009
7270	91,4285
7280	91,4654
7290	91,5084
7300	91,6035
7310	91,7139
7320	91,8863
7330	92,0434
7340	92,229
7350	92,4163
7360	92,6209
7370	92,8574
7380	93,1091
7390	93,3685
7400	93,6621
7410	93,9576
7420	94,2845
7430	94,6027
7440	94,9164
7450	95,2313
7460	95,4963
7470	95,777
7480	96,0477
7490	96,2947
7500	96,476
7510	96,639
7520	96,7679
7530	96,8846
7540	96,9473
7550	96,9791
7560	96,9489
7570	96,8943
7580	96,7849
7590	96,62
7600	96,3861
7610	96,1334
7620	95,8678
7630	95,5561
7640	95,1969
7650	94,834
7660	94,427
7670	94,0008
7680	93,5428
7690	93,054
7700	92,6264
7710	92,1947
7720	91,8736
7730	91,5339
7740	91,2383
7750	90,9398
7760	90,7129
7770	90,5052
7780	90,3257
7790	90,1774
7800	90,0942
7810	90,0549
7820	90,0491
7830	90,1051
7840	90,2172
7850	90,3138
7860	90,4824
7870	90,6748
7880	90,9605
7890	91,2715
7900	91,6304
7910	92,0232
7920	92,3396
7930	92,7583
7940	93,1748
7950	93,5833
7960	93,9142
7970	94,2608
7980	94,6822
7990	95,0534
8000	95,3677
8010	95,6348
8020	95,8801
8030	96,0544
8040	96,2016
8050	96,3245
8060	96,3527
8070	96,471
8080	96,2928
8090	96,2182
8100	95,8793
8110	95,7399
8120	95,4612
8130	95,217
8140	94,9085
8150	94,5441
8160	94,3565
8170	93,9906
8180	93,6706
8190	93,1556
8200	92,7869
8210	92,4039
8220	92,0583
8230	91,7773
8240	91,5376
8250	91,2957
8260	91,082
8270	90,8946
8280	90,8993
8290	90,7828
8300	90,8025
8310	90,6596
8320	90,7521
8330	90,8784
